image_id,method,detector_label,detector_confidence,predicted_class,predicted_confidence,true_class,correct_top1,notes
cattle_02,direct_classification,NA,NA,cattle,0.97518367,cattle,TRUE,Single-cattle image correctly classified with very high confidence
cattle_02,detector_classifier,animal,0.94504786,cattle,0.62676513,cattle,TRUE,Animal detected strongly and correctly classified as cattle; classifier confidence lower than direct full-frame result
cheetah_01,direct_classification,NA,NA,cheetah,0.9987895,cheetah,TRUE,Full-frame cheetah image correctly classified with very high confidence
cheetah_01,detector_classifier,animal,0.58327866,cheetah,0.9998982,cheetah,TRUE,Animal detected at moderate confidence and correctly classified as cheetah with very high confidence
cheetah_02,direct_classification,NA,NA,cheetah,0.9999292,cheetah,TRUE,Full-frame cheetah image correctly classified with extremely high confidence
cheetah_02,detector_classifier,animal,0.9447876,cheetah,0.99918264,cheetah,TRUE,Animal detected strongly and correctly classified as cheetah with very high confidence
gerenuk_01,direct_classification,NA,NA,impala,0.9247597,gerenuk,FALSE,Full-frame gerenuk image incorrectly classified as impala; gerenuk ranked fourth
gerenuk_01,detector_classifier,animal,0.9223623,impala,0.7729782,gerenuk,FALSE,Animal detected strongly but cropped gerenuk incorrectly classified as impala
gerenuk_02,direct_classification,NA,NA,gerenuk,0.99931467,gerenuk,TRUE,Full-frame gerenuk image correctly classified with extremely high confidence
gerenuk_02,detector_classifier,animal,0.9633649,gerenuk,0.95079625,gerenuk,TRUE,Animal detected strongly and correctly classified as gerenuk
dikdik_01,direct_classification,NA,NA,dikdik,0.98637587,dikdik,TRUE,Full-frame dikdik image correctly classified with very high confidence
dikdik_01,detector_classifier,animal,0.96698713,dikdik,0.77505773,dikdik,TRUE,Animal detected strongly and correctly classified as dikdik
dikdik_02,direct_classification,NA,NA,dikdik,0.75743455,dikdik,TRUE,Full-frame dikdik image correctly classified; gunthers dikdik ranked second
dikdik_02,detector_classifier,animal,0.951954,dikdik,0.98827887,dikdik,TRUE,Animal detected strongly and correctly classified as dikdik with very high confidence
east_african_oryx_01,direct_classification,NA,NA,grants gazelle,0.52585286,east african oryx,FALSE,Full-frame East African oryx incorrectly classified as grants gazelle; true class ranked fifth
east_african_oryx_01,detector_classifier,animal,0.9647339,gemsbok,0.9623,east african oryx,FALSE,Animal detected strongly but cropped East African oryx incorrectly classified as gemsbok
east_african_oryx_02,direct_classification,NA,NA,gemsbok,0.9585211,east african oryx,FALSE,Full-frame East African oryx incorrectly classified as gemsbok; true class ranked second
east_african_oryx_02,detector_classifier,animal,0.9356464,gemsbok,0.8903354,east african oryx,FALSE,Animal detected strongly but cropped East African oryx incorrectly classified as gemsbok
striped_hyena_01,direct_classification,NA,NA,striped hyena,0.99429446,striped hyena,TRUE,Full-frame striped hyena correctly classified with very high confidence
striped_hyena_01,detector_classifier,animal,0.97263515,striped hyena,0.9338456,striped hyena,TRUE,Animal detected strongly and correctly classified as striped hyena
striped_hyena_02,direct_classification,NA,NA,striped hyena,0.9935912,striped hyena,TRUE,Out-of-region stress-test image correctly classified as striped hyena with very high confidence
striped_hyena_02,detector_classifier,animal,0.9545027,striped hyena,0.9512918,striped hyena,TRUE,Animal detected strongly and correctly classified as striped hyena in out-of-region stress test
